subject,text,label,source
Unusual sign-in activity detected,"From: user809@mailer.biz
To: target314@example.com
Date: 2024-03-26
Message-ID: <372637@mail.example.com>

Your account shows suspicious sign-in attempts from an unrecognised device. Verify your identity now to keep your account safe. https://secure-verify-now.example.com",phishing,ceas2008
Team offsite planning,"From: user86@example.com
To: target318@example.com
Date: 2024-02-17
Message-ID: <313068@mail.example.com>

Thanks for the call earlier, I'll send the revised proposal by EOD.

    unsubscribe   ",ham,enron
Server maintenance window,Please find the Q3 numbers below. We are slightly under budget on travel.,ham,enron
URGENT: limited time offer,"<html><body><p>URGENT: limited time offer</p><br>From: user157@mailer.biz
To: target437@example.com
Date: 2024-05-20
Message-ID: <445280@mail.example.com>

LIMITED TIME OFFER expires in 24 hours, buy now and save 90% on luxury watches. http://192.168.1.5/login</body></html>

    unsubscribe   ",spam,spamassassin
Security alert from IT department,"<html><body><p>Security alert from IT department</p><br>From: user666@mailer.biz
To: target73@example.com
Date: 2024-05-18
Message-ID: <583367@mail.example.com>

We detected unusual activity on your account. Click here to verify your identity within 24 hours or your account will be permanently suspended. http://free-gift-claim.example.net</body></html>

    unsubscribe   ",phishing,ceas2008
Action required: verify your password,"<html><body><p>Action required: verify your password</p><br>From: user91@mailer.biz
To: target643@example.com
Date: 2024-05-12
Message-ID: <539128@mail.example.com>

This is the IT Service Desk. We require you to confirm your credentials via the secure portal attached, due to a recent security breach. http://192.168.1.5/login</body></html>",phishing,ceas2008
Server maintenance window,Attached is your invoice for last month's consulting hours.,ham,enron
Re: Conference room booking,"From: user958@example.com
To: target727@example.com
Date: 2024-04-12
Message-ID: <644103@mail.example.com>

Can we push the project deadline by a week? The vendor needs more time.",ham,enron
Meeting notes from yesterday,"<html><body><p>Meeting notes from yesterday</p><br>From: user477@example.com
To: target887@example.com
Date: 2024-05-25
Message-ID: <985885@mail.example.com>

Reminder that the office will be closed next Monday for the holiday.</body></html>

    unsubscribe   ",ham,enron
You have WON a prize!!!,"Work from home and earn $5000/week, no experience needed, sign up today!!! http://free-gift-claim.example.net",spam,spamassassin
